0;12349;12363;811230
1;12728;12387;809550
2;12510;12387;804540
3;12499;12698;829640
4;12349;12698;830730
5;12499;12363;832830
6;12608;12698;829370
7;12510;12698;844250
8;12295;12478;850250
9;12567;12478;847840
10;12444;12698;851590
11;12295;12698;899460
12;12567;12698;936840
13;12728;12698;961600
14;24903;24817;1599540
15;24859;25118;1629440
16;24805;24750;1644980
17;12510;12664;839610
18;12728;12664;852870
19;12499;12453;808050
20;12349;12453;823150
21;25295;24750;1702490
22;24957;24750;1695870
23;24943;24750;1739140
24;25011;24817;1782030
25;24957;25118;1839260
26;24943;25118;1860870
27;37413;37368;1944430
28;37467;37434;1963360
29;25011;24907;1572780
30;25011;25167;1648630
31;37154;37434;2494590
32;24903;25167;1681650
33;37739;37368;2530660
34;25227;25118;1670530
35;24903;24907;1676440
36;37671;37434;2598380
37;37794;37434;2628960
