0;10024;10000;15930
1;10047;10002;15740
2;10048;10001;15300
3;10047;10001;15740
4;10049;10001;15850
5;10048;10002;15290
6;10048;10003;14760
7;10053;10002;16080
8;10052;10003;15780
9;10047;10001;16220
10;10049;10001;14710
11;10046;10002;16000
12;10051;10003;13620
13;10048;10003;15290
14;10049;10001;14660
15;10047;10001;15740
16;10023;10001;16240
17;10026;10002;14720
18;10048;10001;15820
19;10024;10001;14570
20;10023;10000;16300
21;10046;10002;15800
22;10050;10002;16290
23;10051;10004;16270
24;10049;10002;14900
25;10049;10002;16120
26;10051;10002;15810
27;10045;10002;15990
28;10023;10001;16460
29;10048;10002;16300
