NB;;Time;VM2;TH2;h1;h2;;;;;;;;;;;;;;;;;;;;;;;;;;;;Physical memory (bytes) ;Virtual memory (bytes)
12,50;2,92;175225;;1,555526941;10087096;6484681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25,00;4,67;280353,00;;1,590606968;20678328;13000275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50,00;19,89;1193484;;1,568845114;42629447;27172502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100,00;69,11;4146302;;1,515078398;86830049;57310598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
