L;M;W;RECALL;RATIO;TIMETOTAL;ratioRes;BucketInitial;BucketFinal;TIMEHUMAIN;
2;7;100;0.050143294;-0.9971331;113567;0.050118;99939;199878;0h1min53sec
2;7;5000;0.22021285;201.2813;109664;0.234573;59551;119102;0h1min49sec
2;7;20000;0.54948694;2020.6216;112593;0.59736;25608;51216;0h1min52sec
2;7;30000;0.6829793;4200.7896;122773;0.745975;17136;34272;0h2min2sec
2;7;40000;0.6972827;3783.9805;117648;0.75479;15837;31674;0h1min57sec
2;7;50000;0.7760252;4960.991;123680;0.828299;11681;23362;0h2min3sec
2;7;70000;0.8700192;7014.0635;129713;0.912555;6856;13718;0h2min9sec
2;7;80000;0.86231655;6544.5405;129955;0.905481;7013;14026;0h2min9sec
2;7;90000;0.8520452;6136.312;123645;0.892956;7759;15530;0h2min3sec
2;7;100000;0.8784634;6688.765;131734;0.915616;6357;12726;0h2min11sec
2;7;200000;0.93684596;8604.546;146538;0.964574;3732;7566;0h2min26sec
2;7;250000;0.9689323;9599.844;174601;0.98659;2191;4576;0h2min54sec
2;7;300000;0.96330005;9514.549;152542;0.984143;2441;4986;0h2min32sec
2;7;400000;0.97;9500.549;188682;0.991684;1637;3576;0h3min8sec
