0;20134;5595;133730
1;16424;7807;154020
2;16654;8253;188590
3;27010;6502;204640
4;28486;7331;253120
5;33446;7242;285090
6;34683;7239;289840
7;51697;6457;395740
8;50766;7041;418290
9;30981;7177;278210
10;43246;9336;459640
11;38308;10141;501100
12;52854;5978;357160
13;55261;6629;515820
14;51765;9381;554910
15;54063;9600;583870
16;62439;8176;610800
17;53148;10359;614480
18;77165;6009;622940
19;68581;4660;364750
20;71940;5321;436990
21;55677;4748;351060
22;21106;9066;226090
23;33354;6345;255360
24;18916;7981;218450
25;63945;11360;813100
26;22192;8285;224050
27;70567;8537;849000
28;52167;7353;446030
29;49625;10299;595860
30;23849;9349;255830
31;51730;11538;684730
32;21950;10214;264730
33;71082;6070;509390
34;49412;4657;273100
35;53909;8697;537200
36;55999;6738;434660
37;172028;3142;613380
38;65577;6436;491410
39;46242;11747;626730
40;58246;7697;622400
41;52002;7597;502820
42;53546;8409;518410
43;40701;9844;514710
44;81859;7855;753220
45;45688;9439;505110
46;42772;10615;512740
47;61944;10786;900070
48;61046;9211;744640
49;92684;9751;1176950
